title;id;sort_index;url_name;description;author;price;duration;bpm;genres;tags;moods;instruments;similar
The Floating Lotus;29045;3060;the-floating-lotus;Bright and floating, with world gamelan elements featuring pulsing ethnic percussion and ethnic flute to create a meditative and serene mood.;LATG Music;49;153;105;['World'];['Bright', 'Content', 'Dreamy', 'Ethereal', 'Floating', 'Flowing', 'Hypnotic', 'Meditative', 'Mellow', 'Peaceful', 'Pulsing', 'Rhythmic', 'Satisfied', 'Serene', 'Warm'];['Relaxation / Meditation'];['Ethnic flute', 'Ethnic percussion'];['Maupiti', 'Jungle Festive', 'Java Temple', 'The Thousand Islands', 'Blessing', 'The Last One']
Sound System;29040;3061;sound-system;Bouncy and groovy, with R&B Motown elements featuring loving saxophone, flute, and keyboard to create a cheerful and heartfelt mood.;The Lone Wranglers;49;153;96;['Motown', 'R&B', 'Reggae'];['Bouncy', 'Bright', 'Cheerful', 'Cool', 'Enthusiastic', 'Expressive', 'Feel-good', 'Groovy', 'Heartfelt', 'Live', 'Loving', 'Romantic', 'Smooth', 'Sweet'];['Feel Good'];['Drums', 'Flute', 'Keyboard', 'Saxophone'];['Soul of Summer', 'Let Me Down', 'Groovin on It', 'Funky Walk', 'The Sun Is Shining', 'Light on My Feet']
From the Earth We Are Born;27386;3062;from-the-earth-we-are-born;Driving and mysterious, featuring didgeridoo, flute, and percussion creating a wondrous mood.;Tristan Barton;49;164;140;['Adventure', 'Cinematic', 'Production / Film Scores'];['Australian', 'Bold', 'Building', 'Driving', 'Earthy', 'Inspiring', 'Intrigue', 'Journey', 'Powerful', 'Rhythmic', 'Wondrous', 'World elements'];['Adventure / Discovery', 'Epic / Orchestral'];['Brass', 'Drums', 'Ethnic flute', 'Flute', 'Percussion', 'Vocals'];['Global Adventure', 'Golden Dawn', 'Stronghold', 'Ultimate Design', 'Indomitable', 'Heroic Adventure']
Soft and Flowing;27390;3063;soft-and-flowing;Solemn and ambient, featuring Middle Eastern female vocals, strings, and wind instruments that create a gloomy, somber mood.;Viljami Mehto;49;149;145;['Adventure', 'Ambient', 'Cinematic', 'New Age', 'Production / Film Scores', 'World Elements'];['Contemplative', 'Flowing', 'Gloomy', 'Intrigue', 'Introspective', 'Middle eastern', 'Mysterious', 'Pensive', 'Reflective', 'Soft', 'Solemn', 'Wondrous'];['Adventure / Discovery', 'Dark / Somber', 'Relaxation / Meditation'];['Drum machine', 'Female vocals', 'Piano', 'Strings', 'Woodwinds'];['Dream of Utopia', 'Canyon Stars', 'Cloudwalking', 'Natural Evolution', 'Allegiance', 'Ambient Yoga']
Bohemian Comedy;30913;3064;bohemian-comedy;Sneaky and spirited, featuring acoustic guitar, piano, strings, and percussion creating an intriguing, passionate mood.;One Wave;49;153;110;['Cinematic', 'Latin', 'Production / Film Scores', 'Tango'];['Animated', 'Bouncy', 'Bright', 'Energetic', 'Humorous', 'Intrigue', 'Mysterious', 'Passionate', 'Quirky', 'Sneaky', 'Spirited', 'Whimsical'];['Comedy / Funny', 'Feel Good'];['Acoustic guitar', 'Percussion', 'Piano', 'Strings', 'Vocals'];['Wise Guy', 'The Drag', 'Peculiar Perks', 'Sneaky Devil', 'Castanets', 'Cheezy Tango-Bossa']
Business;24625;3065;business;Driving and hopeful, featuring floating synthesizer, ambient electric guitar and lightly pulsing drums that create an inspirational, optimistic mood.;Ulas Pakkan;49;168;114;['Corporate', 'Inspirational', 'Motivational', 'Rock', 'Soft Rock'];['Determined', 'Encouraging', 'Forward-moving', 'Hopeful', 'Optimistic', 'Positive', 'Possibilities', 'Progress'];['Feel Good', 'Gentle / Light', 'Uplifting'];['Bass', 'Drums', 'Electric guitar', 'Piano', 'Strings', 'Synthesizer'];['Clear Progress', 'Light Corporate', 'Keep Going', 'Infinite Sparkle', 'Love Runs Free', 'Beautiful Memories']
Better Than Ever;31613;3066;better-than-ever;Bright and pulsing, featuring warm synthesizers, electric guitar and vocal chops that create a positive, feel-good mood.;Cosmo;49;160;93;['Electro Pop', 'Pop'];['Bouncy', 'Bright', 'Confident', 'Driving', 'Encouraging', 'Good times', 'Hopeful', 'Optimistic', 'Positive', 'Proud', 'Pulsing'];['Feel Good', 'Happy / Cheerful', 'Uplifting'];['Electric guitar', 'Handclaps', 'Synth drums', 'Synthesizer', 'Vocal samples'];['Close to You', 'Grow in Time', 'He Said She Said', 'Universal Remote', 'With Good Reason', 'Shout From the Rooftops']
Keep on the Grind;30873;3067;keep-on-the-grind;Bouncy and uplifting, featuring breezy whistle, guitars, piano and hand claps that create a positive, feel-good mood.;Elaphant Music;49;130;105;['Country', 'Country-Folk', 'Folk'];['Bouncy', 'Breezy', 'Confident', 'Earthy', 'Empowering', 'Encouraging', 'Energetic', 'Fun', 'Inspirational', 'Positive', 'Upbeat'];['Feel Good', 'Happy / Cheerful', 'Uplifting'];['Acoustic guitar', 'Bass', 'Drums', 'Electric guitar', 'Harmonica', 'Percussion', 'Piano', 'Whistle'];['Sunny Morning Walk', 'Somewhere in Montana', 'Urban Sunrise', 'Over All', 'The Astronaut', 'Turkey in the Straw on the Porch']
Only Victorious;27378;3068;only-victorious;Grand and exciting, featuring strings, brass, and percussion creating a proud, triumphant mood.;Yan Perchuk;49;143;130;['Adventure', 'Cinematic', 'Epic', 'Production / Film Scores', 'Trailer'];['Bold', 'Empowering', 'Grand', 'Heroic', 'Inspiring', 'Journey', 'Lush', 'Motivational', 'Proud', 'Triumphant', 'Victorious', 'Wondrous'];['Action / Sports', 'Adventure / Discovery', 'Epic / Orchestral'];['Brass', 'Percussion', 'Strings', 'Woodwinds'];['Quantum World', 'All in Your Hands', 'Dreams of Infinity', 'The Last Legend', 'The Way of Victory', 'Existence']
Reggaetone;30918;3069;reggaetone;Bouncy and feel-good, featuring bright synthesizers, bass, and drums that create a proud, festive mood.;KA;49;133;105;['Latin', 'Reggaeton'];['Beach', 'Celebration', 'Confident', 'Dance', 'Festive', 'Fun', 'Groovy', 'Island', 'Party', 'Proud', 'Summer'];['Fashion / Lifestyle', 'Feel Good', 'Happy / Cheerful'];['Synth bass', 'Synth drums', 'Synthesizer'];['Tropic Thunder', 'Baby Otters', 'A Carefree Adventure', 'Summer Eyes', 'Beach Ball', 'Island Sunrise']
Sea Line;30916;3070;sea-line;Warm and smooth, featuring floating synthesizers, cute vocal chops, and energetic beats creating a confident and feel-good mood.;One Wave;49;164;108;['Electro Pop', 'Hip-Hop', 'Pop', 'Trap'];['Confident', 'Cool', 'Dreamy', 'Groovy', 'Hip', 'Hypnotic', 'Laid-back', 'Positive', 'Proud', 'Pulsing', 'Warm'];['Fashion / Lifestyle', 'Feel Good', 'Uplifting'];['Drum machine', 'Synth bass', 'Synthesizer', 'Vocal samples'];['Trip the Light', 'Lifeline', 'Two Hands', 'On the Daily', 'Inexplicable', 'Blue Shadow']
Esplanade;27364;3071;esplanade;Bright and uplifting, featuring piano, acoustic guitar, strings, and beats that create a hopeful, optimistic mood.;Kyon;49;164;120;['Electro Pop', 'Pop'];['Bright', 'Encouraging', 'Enthusiastic', 'Hopeful', 'Japan', 'Japanese', 'Optimistic', 'Positive', 'Proud', 'Shimmering', 'Sunny', 'Upbeat'];['Feel Good', 'Happy / Cheerful', 'Uplifting'];['Acoustic guitar', 'Piano', 'Strings', 'Synth drums', 'Synthesizer'];['Ashiato', 'Jump Out', 'Joybound', 'TGIF', 'Chips', 'Shion']
Assemble;27361;3072;assemble;Bold and daring, featuring strings, brass, and percussion creating a powerful, determined mood.;Jack Pierce;49;149;173;['Action', 'Adventure', 'Cinematic', 'Production / Film Scores', 'Trailer'];['Bold', 'Boomy', 'Daring', 'Determined', 'Driving', 'Heavy', 'Heroic', 'Powerful', 'Triumphant'];['Action / Sports', 'Adventure / Discovery', 'Epic / Orchestral'];['Brass', 'Percussion', 'Strings'];['Heroic', 'Disturbia', 'Titan March Trailer Percussion', 'The Birth of a Legend', 'Lost in Memories', 'Dauntless']
Fuego;30923;3073;fuego;Bright and bold, featuring synthesizers, brass, vocal chops, and 808 drums that create a proud, feel-good mood.;Florian;49;159;110;['Hip-Hop', 'Latin', 'Reggaeton'];['Bold', 'Bouncy', 'Celebration', 'Confident', 'Edgy', 'Festive', 'Fun', 'Groovy', 'Heavy', 'Proud', 'Tough'];['Fashion / Lifestyle', 'Feel Good'];['Brass', 'Drum machine', 'Synth bass', 'Synthesizer', 'Vocal samples'];['Summer Eyes', 'Tropic Thunder', 'Reggaetone', 'BehBuBah', 'Saturday Night', 'Baby Otters']
Asteroid;27362;3074;asteroid;Floating and dreamy, featuring pulsing synthesizers, bass, and beats that create a laid-back, reflective mood.;Cymatix;49;150;140;['Hip-Hop'];['Chill', 'Confident', 'Cool', 'Dreamy', 'Groovy', 'Hip', 'Hypnotic', 'Laid-back', 'Mellow', 'Pensive', 'Reflective'];['Fashion / Lifestyle', 'Feel Good'];['Drum machine', 'Synth bass', 'Synthesizer'];['Hazey Streets', 'Sky Chase', 'Perfect Picture', 'In the Afternoon', 'Flash Lights', 'Crank On']
Everything Is One;27366;3075;everything-is-one;Slow and gentle, featuring soft piano and plenty of ambience creating a dreamy, nostalgic mood;Remember The Future;49;159;80;['Cinematic', 'Human Drama', 'Production / Film Scores'];['Ambient', 'Atmospheric', 'Calm', 'Dreamy', 'Floating', 'Heartfelt', 'Inspiring', 'Peaceful', 'Reflective', 'Slow', 'Soothing'];['Gentle / Light', 'Sad / Nostalgic'];['Pads', 'Piano', 'Synthesizer'];['By the Fireside', 'A Fairy Tale', 'These Ascents', 'Passing Shadow', 'Drifting Tide', 'Tranquility']
Passerby;27379;3076;passerby;Fun and groovy, featuring fuzzy electric guitar, bass, synthesizer, and drums that create a positive, feel-good mood.;Marc Walloch;49;152;128;['Indie Rock', 'Rock'];['Bouncy', 'Confident', 'Cool', 'Driving', 'Fun', 'Groovy', 'Hip', 'Hipster', 'Hopeful', 'Positive', 'Proud'];['Action / Sports', 'Feel Good', 'Uplifting'];['Bass', 'Drums', 'Electric guitar', 'Synthesizer'];['Hipster Party', 'Alpha Man', 'Cities', 'Jacked', 'MVP', 'Smokey Party']
Lucky Moments;30919;3077;lucky-moments;Proud and flowing, featuring Middle Eastern clarinet, acoustic guitar, and percussion creating a celebratory, feel-good mood.;O2 Studio;49;142;100;['Middle Eastern', 'World'];['Arabic', 'Bright', 'Celebratory', 'Desert', 'Festive', 'Flowing', 'Intrigue', 'Proud', 'Traditional'];['Feel Good', 'Uplifting'];['Acoustic guitar', 'Clarinet', 'Ethnic percussion'];['Marmorino', 'Arab Wedding', 'Kings Business', 'Freska', 'Misirlou', 'Libya']
Deep Roots;29009;3078;deep-roots;Hypnotic and bouncy, with reggae dancehall elements featuring pulsing Hammond organ, keyboard, and bass to create a chill and trippy mood.;The Lone Wranglers;49;148;138;['Reggae'];['Bouncy', 'Bright', 'Chill', 'Dub', 'Feel-good', 'Good times', 'Hypnotic', 'Laidback', 'Live', 'Mellow', 'Pulsing', 'Relaxed', 'Sunny', 'Trippy'];['Feel Good', 'Relaxation / Meditation'];['Bass', 'Drums', 'Hammond organ', 'Keyboard'];['Swimming in Sunshine', 'Forever Tonight', 'Laid Back Trap', 'Poi Boy', 'The City', 'Seabed']
Driving Back Home;30029;3079;driving-back-home;Bouncy and pulsing, with electro pop elements featuring introspective piano, synthesizer, and vocal samples to create a reflective and tender mood.;Die Hard Productions;49;158;100;['Electro Pop', 'Pop'];['Bouncy', 'Enthusiastic', 'Heartfelt', 'Hopeful', 'Introspective', 'Mellow', 'Pulsing', 'Punchy', 'Reflective', 'Sensitive', 'Tender'];[];['Electric guitar', 'Piano', 'Synthesizer', 'Vocal samples'];['Good Vibe', 'Heaven Is Closer', 'Making Progress', 'Dualism', 'Building Hope', 'Different Ways']
